"Model no","Item Name","Qty Sold","Item Cost","Retail Price","Extended Cost","Total Revenue","Gross Profit","Gross Profit%","Sale Mode",Size,"Product No","Product color"
35836004,"HOODIE RED LG",10,27.26,58.99,272.6,324.46,51.86,0.537887778,In-store,LG,358360,RED
35836005,"HOODIE RED XL",1,27.26,58.99,27.26,58.99,31.73,0.537887778,In-store,XL,358360,RED
35836006,"HOODIE RED XXL",1,27.26,58.99,27.26,58.99,31.73,0.537887778,In-store,XXL,358360,RED
35863201,"HOODIE GREY XS",5,23.54,52.99,117.7,172.21,54.51,0.555765239,In-store,XS,358632,GREY
35863202,"HOODIE GREY SM",44,23.54,52.99,1035.76,1361.44,325.68,0.555765239,In-store,SM,358632,GREY
35863203,"HOODIE GREY MED",25,23.54,52.99,588.5,762.92,174.42,0.555765239,In-store,MED,358632,GREY
35863204,"HOODIE GREY LG",19,23.54,52.99,447.26,564.3,117.04,0.555765239,In-store,LG,358632,GREY
35863205,"HOODIE GREY XL",8,23.54,52.99,188.32,317.92,129.6,0.555765239,In-store,XL,358632,GREY
35863206,"HOODIE GREY XXL",2,23.54,52.99,47.08,52.98,5.9,0.555765239,In-store,XXL,358632,GREY
35876001,"HOODIE RED XS",6,23.54,52.99,141.24,315.18,173.94,0.555765239,In-store,XS,358760,RED
35876002,"HOODIE RED SM",26,23.54,52.99,612.04,856.12,244.08,0.555765239,In-store,SM,358760,RED
35876003,"HOODIE RED MED",14,23.54,52.99,329.56,654.13,324.57,0.555765239,In-store,MED,358760,RED
35876005,"HOODIE RED XL",3,23.54,52.99,70.62,158.97,88.35,0.555765239,In-store,XL,358760,RED
35876006,"HOODIE RED XXL",1,23.54,52.99,23.54,13.25,-10.29,0.555765239,In-store,XXL,358760,RED
35876007,"HOODIE RED 3XL",1,25.54,52.99,25.54,52.99,27.45,0.518022268,In-store,3XL,358760,RED
36933201,"RW FZIP HOOD SLV GRY XS",1,36.4,76.99,36.4,71.99,35.59,0.527211326,In-store,XS,369332,GRY
36933202,"RW FZIP HOOD SLV GRY SM",4,36.4,76.99,145.6,305,159.4,0.527211326,In-store,SM,369332,GRY
36933203,"RW FZIP HOOD SLV GRY MED",2,36.4,76.99,72.8,153.98,81.18,0.527211326,In-store,MED,369332,GRY
36933205,"RW FZIP HOOD SLV GRY XL",2,36.4,76.99,72.8,153.98,81.18,0.527211326,In-store,XL,369332,GRY
37316002,"HOOD SWEAT RED SM",44,15.12,35.99,665.28,771.4,106.12,0.579883301,In-store,SM,373160,RED
37316003,"HOOD SWEAT RED MED",50,15.12,35.99,756,890.54,134.54,0.579883301,In-store,MED,373160,RED
37316004,"HOOD SWEAT RED LG",58,15.12,35.99,876.96,1043.49,166.53,0.579883301,In-store,LG,373160,RED
37316005,"HOOD SWEAT RED XL",55,15.12,35.99,831.6,978.75,147.15,0.579883301,In-store,XL,373160,RED
37316006,"HOOD SWEAT RED XXL",24,15.12,35.99,362.88,429.28,66.4,0.579883301,In-store,XXL,373160,RED
37323204,"HOOD SWEAT",9,11.89,29.99,107.01,66.28,-40.73,0.603534512,In-store,LG,373232,Unknown
37333002,"HOOD SWEAT BLK SM",61,15.12,35.99,922.32,1112.92,190.6,0.579883301,In-store,SM,373330,BLK
37333003,"HOOD SWEAT BLK MED",49,15.095,35.99,739.66,901.49,161.83,0.580439011,In-store,MED,373330,BLK
37333004,"HOOD SWEAT BLK LG",61,11.89,35.99,922.32,1120.61,198.29,0.669630453,In-store,LG,373330,BLK
37333005,"HOOD SWEAT BLK XL",50,15.12,35.99,756,897.31,141.31,0.579883301,In-store,XL,373330,BLK
37333006,"HOOD SWEAT BLK XXL",7,15.12,35.99,105.84,125.94,20.1,0.579883301,In-store,XXL,373330,BLK
37333007,"HOOD SWEAT BLK 3XL",6,17.56,37.99,105.36,111.94,6.58,0.537773098,In-store,3XL,373330,BLK
37403502,"HOOD SWEAT WHT SM",30,15.12,35.99,453.6,532.98,79.38,0.579883301,In-store,SM,374035,WHT
37403503,"HOOD SWEAT WHT MED",35,15.12,35.99,529.2,647.73,118.53,0.579883301,In-store,MED,374035,WHT
37403504,"HOOD SWEAT WHT LG",70,15.12,35.99,1058.4,1259.51,201.11,0.579883301,In-store,LG,374035,WHT
37403505,"HOOD SWEAT WHT XL",84,15.12,35.99,1270.08,1528.43,258.35,0.579883301,In-store,XL,374035,WHT
37403506,"HOOD SWEAT WHT XXL",27,15.12,35.99,408.24,485.77,77.53,0.579883301,In-store,XXL,374035,WHT
37453202,"FLC FZIP HOOD CHAR GRY SM",31,18.05,39.99,559.55,1176.41,616.86,0.548637159,In-store,SM,374532,"CHAR GRY"
37453203,"FLC FZIP HOOD CHAR GRY MED",36,18.05,39.99,649.8,1365,715.2,0.548637159,In-store,MED,374532,"CHAR GRY"
37453204,"FLC FZIP HOOD CHAR GRY LG",35,18.05,39.99,631.75,1392.25,760.5,0.548637159,In-store,LG,374532,"CHAR GRY"
37453205,"FLC FZIP HOOD CHAR GRY XL",28,18.05,39.99,505.4,799.82,294.42,0.548637159,In-store,XL,374532,"CHAR GRY"
