"Model no","Display Name","Date Created","Date Received","Item name","Quantity Received","Unit Cost","Extended Cost","Retail Price","Extended retail","Gross Margin %",Size,"Product No"
75603003," HOOD SWEAT BLACK MED",11/16/2023,12/1/2023,"315 - Hooded Sweat Adult",24,25.06,601.44,54.99,1319.76,0.544280778,MED,756030
75603004," HOOD SWEAT BLACK LG",11/16/2023,12/1/2023,"315 - Hooded Sweat Adult",24,25.06,601.44,54.99,1319.76,0.544280778,LG,756030
75603005," HOOD SWEAT BLACK XL",11/16/2023,12/1/2023,"315 - Hooded Sweat Adult",18,25.06,451.08,54.99,989.82,0.544280778,XL,756030
75603006," HOOD SWEAT BLACK XXL",11/16/2023,12/1/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,XXL,756030
75613202," HOOD SWEAT   CHAR SM",11/16/2023,12/1/2023,"315 - Hooded Sweat Adult",18,25.06,451.08,54.99,989.82,0.544280778,SM,756132
75613203," HOOD SWEAT   CHAR MED",11/16/2023,12/1/2023,"315 - Hooded Sweat Adult",24,25.06,601.44,54.99,1319.76,0.544280778,MED,756132
75613204," HOOD SWEAT   CHAR LG",11/16/2023,12/1/2023,"315 - Hooded Sweat Adult",18,25.06,451.08,54.99,989.82,0.544280778,LG,756132
75613205," HOOD SWEAT   CHAR XL",11/16/2023,12/1/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,XL,756132
75613206," HOOD SWEAT   CHAR XXL",11/16/2023,12/1/2023,"315 - Hooded Sweat Adult",6,25.06,150.36,54.99,329.94,0.544280778,XXL,756132
75633202," HOOD SWEAT   OXFORD GRY SM",11/16/2023,12/1/2023,"315 - Hooded Sweat Adult",6,25.06,150.36,54.99,329.94,0.544280778,SM,756332
75633203," HOOD SWEAT   OXFORD GRY MED",11/16/2023,12/1/2023,"315 - Hooded Sweat Adult",24,25.06,601.44,54.99,1319.76,0.544280778,MED,756332
75633204," HOOD SWEAT   OXFORD GRY LG",11/16/2023,12/1/2023,"315 - Hooded Sweat Adult",18,25.06,451.08,54.99,989.82,0.544280778,LG,756332
75633205," HOOD SWEAT   OXFORD GRY XL",11/16/2023,12/1/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,XL,756332
75633206," HOOD SWEAT   OXFORD GRY XXL",11/16/2023,12/1/2023,"315 - Hooded Sweat Adult",6,25.06,150.36,54.99,329.94,0.544280778,XXL,756332
75626002," HOOD SWEAT   RED SM",11/16/2023,12/4/2023,"315 - Hooded Sweat Adult",6,25.06,150.36,54.99,329.94,0.544280778,SM,756260
75626003," HOOD SWEAT   RED MED",11/16/2023,12/4/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,MED,756260
75626004," HOOD SWEAT   RED LG",11/16/2023,12/4/2023,"315 - Hooded Sweat Adult",24,25.06,601.44,54.99,1319.76,0.544280778,LG,756260
75626005," HOOD SWEAT   RED XL",11/16/2023,12/4/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,XL,756260
75626006," HOOD SWEAT   RED XXL",11/16/2023,12/4/2023,"315 - Hooded Sweat Adult",6,25.06,150.36,54.99,329.94,0.544280778,XXL,756260
75586002," HOOD SWEAT RED SM",12/7/2023,12/15/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,SM,755860
75586003," HOOD SWEAT RED MED",12/7/2023,12/15/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,MED,755860
75586004," HOOD SWEAT RED LG",12/7/2023,12/15/2023,"315 - Hooded Sweat Adult",18,25.06,451.08,54.99,989.82,0.544280778,LG,755860
75586005," HOOD SWEAT RED XL",12/7/2023,12/15/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,XL,755860
75593502," HOOD SWEAT WHT SM",12/7/2023,12/15/2023,"315 - Hooded Sweat Adult",18,25.06,451.08,54.99,989.82,0.544280778,SM,755935
75593503," HOOD SWEAT WHT MED",12/7/2023,12/15/2023,"315 - Hooded Sweat Adult",18,25.06,451.08,54.99,989.82,0.544280778,MED,755935
75593505," HOOD SWEAT WHT XL",12/7/2023,12/15/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,XL,755935
75626003," HOOD SWEAT   RED MED",12/7/2023,12/15/2023,"315 - Hooded Sweat Adult",24,25.06,601.44,54.99,1319.76,0.544280778,MED,756260
